source_image,filename,width,height,readable,mean_pixel,std_pixel,low_intensity_ratio,high_intensity_ratio,status
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_000_x0_y0.png,256,256,True,80.72,18.23,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_001_x192_y0.png,256,256,True,79.1,17.14,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_002_x256_y0.png,256,256,True,79.34,17.02,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_003_x0_y192.png,256,256,True,78.21,16.45,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_004_x192_y192.png,256,256,True,75.13,14.9,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_005_x256_y192.png,256,256,True,74.89,14.31,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_006_x0_y256.png,256,256,True,75.41,14.69,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_007_x192_y256.png,256,256,True,73.82,13.92,0.0,0.0,Valid
ch2_iir_ndi_20240518T0136331875_b_brf_d18_srd_grayscale,crop_008_x256_y256.png,256,256,True,74.22,13.92,0.0,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_000_x0_y0.png,256,256,True,140.39,14.96,0.0038,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_001_x192_y0.png,256,256,True,138.25,13.86,0.0039,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_002_x256_y0.png,256,256,True,137.2,14.18,0.0039,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_003_x0_y192.png,256,256,True,136.23,15.56,0.0038,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_004_x192_y192.png,256,256,True,132.28,15.65,0.0039,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_005_x256_y192.png,256,256,True,130.51,14.97,0.0039,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_006_x0_y256.png,256,256,True,135.06,13.85,0.0,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_007_x192_y256.png,256,256,True,131.55,14.0,0.0,0.0,Valid
ch2_iir_ndi_20250728T1201421887_b_brf_d18_srd_grayscale,crop_008_x256_y256.png,256,256,True,129.78,13.15,0.0,0.0,Valid
